method,profile,suite,seed,path,answer_em,answer_f1,answer_precision,answer_recall,sp_em,sp_f1,sp_precision,sp_recall,joint_em,joint_f1,answer_access_at_k,support_title_recall_at_k,all_gold_sp_retrieved_at_k
agent_rule_v7,v7agentpm_rule_dynamic,v7pm_bandit_slot,0,/home/iiserver31/projects/FedE4RAG-main/V7-agent-PM/eval_outputs/official_fid_t5/v7pm_bandit_slot/agent-rule-v7-dynamic_k3_w1_s0_enc0_score-downstream_value_budget-fixed_hist7_client1_block1_hard1_util1_ep1_cov1_mem1_dyn1_ecw000_slotdyn_pmf1r1i1bg1dh0/official_metrics.json,0.576,0.6536208747247794,0.6536208747247794,0.6536208747247794,0.209,0.5065,0.5065,0.5065,0.113,0.3315276324278607,0.858,0.7445,0.209
agent_rule_v7,v7agentpm_rule_dynamic,v7pm_bandit_slot,1,/home/iiserver31/projects/FedE4RAG-main/V7-agent-PM/eval_outputs/official_fid_t5/v7pm_bandit_slot/agent-rule-v7-dynamic_k3_w1_s1_enc0_score-downstream_value_budget-fixed_hist7_client1_block1_hard1_util1_ep1_cov1_mem1_dyn1_ecw000_slotdyn_pmf1r1i1bg1dh0/official_metrics.json,0.576,0.6536208747247794,0.6536208747247794,0.6536208747247794,0.209,0.5065,0.5065,0.5065,0.113,0.3315276324278607,0.858,0.7445,0.209
agent_rule_v7,v7agentpm_rule_dynamic,v7pm_bandit_slot,2,/home/iiserver31/projects/FedE4RAG-main/V7-agent-PM/eval_outputs/official_fid_t5/v7pm_bandit_slot/agent-rule-v7-dynamic_k3_w1_s2_enc0_score-downstream_value_budget-fixed_hist7_client1_block1_hard1_util1_ep1_cov1_mem1_dyn1_ecw000_slotdyn_pmf1r1i1bg1dh0/official_metrics.json,0.576,0.6536208747247794,0.6536208747247794,0.6536208747247794,0.209,0.5065,0.5065,0.5065,0.113,0.3315276324278607,0.858,0.7445,0.209
agent_rule_v7,v7agentpm_rule_dynamic,v7pm_bandit_slot,3,/home/iiserver31/projects/FedE4RAG-main/V7-agent-PM/eval_outputs/official_fid_t5/v7pm_bandit_slot/agent-rule-v7-dynamic_k3_w1_s3_enc0_score-downstream_value_budget-fixed_hist7_client1_block1_hard1_util1_ep1_cov1_mem1_dyn1_ecw000_slotdyn_pmf1r1i1bg1dh0/official_metrics.json,0.576,0.6536208747247794,0.6536208747247794,0.6536208747247794,0.209,0.5065,0.5065,0.5065,0.113,0.3315276324278607,0.858,0.7445,0.209
agent_rule_v7,v7agentpm_rule_dynamic,v7pm_bandit_slot,4,/home/iiserver31/projects/FedE4RAG-main/V7-agent-PM/eval_outputs/official_fid_t5/v7pm_bandit_slot/agent-rule-v7-dynamic_k3_w1_s4_enc0_score-downstream_value_budget-fixed_hist7_client1_block1_hard1_util1_ep1_cov1_mem1_dyn1_ecw000_slotdyn_pmf1r1i1bg1dh0/official_metrics.json,0.576,0.6536208747247794,0.6536208747247794,0.6536208747247794,0.209,0.5065,0.5065,0.5065,0.113,0.3315276324278607,0.858,0.7445,0.209
agent_dynamic_no_bridge_guard,v7pm_dynamic_no_bridge_guard,v7pm_dynamic_ablation,0,/home/iiserver31/projects/FedE4RAG-main/V7-agent-PM/eval_outputs/official_fid_t5/v7pm_dynamic_ablation/agent-dynamic-no-bridge-guard_k3_w1_s0_enc0_score-downstream_value_budget-fixed_hist7_client1_block1_hard1_util1_ep1_cov1_mem1_dyn1_ecw000_slotdyn_pmf1r1i1bg0dh0/official_metrics.json,0.576,0.6536208747247794,0.6536208747247794,0.6536208747247794,0.209,0.5065,0.5065,0.5065,0.113,0.3315276324278607,0.858,0.7445,0.209
agent_dynamic_no_bridge_guard,v7pm_dynamic_no_bridge_guard,v7pm_dynamic_ablation,1,/home/iiserver31/projects/FedE4RAG-main/V7-agent-PM/eval_outputs/official_fid_t5/v7pm_dynamic_ablation/agent-dynamic-no-bridge-guard_k3_w1_s1_enc0_score-downstream_value_budget-fixed_hist7_client1_block1_hard1_util1_ep1_cov1_mem1_dyn1_ecw000_slotdyn_pmf1r1i1bg0dh0/official_metrics.json,0.577,0.6538208747247795,0.6538208747247795,0.6538208747247795,0.209,0.5065,0.5065,0.5065,0.113,0.3315276324278607,0.859,0.7445,0.209
agent_dynamic_no_bridge_guard,v7pm_dynamic_no_bridge_guard,v7pm_dynamic_ablation,2,/home/iiserver31/projects/FedE4RAG-main/V7-agent-PM/eval_outputs/official_fid_t5/v7pm_dynamic_ablation/agent-dynamic-no-bridge-guard_k3_w1_s2_enc0_score-downstream_value_budget-fixed_hist7_client1_block1_hard1_util1_ep1_cov1_mem1_dyn1_ecw000_slotdyn_pmf1r1i1bg0dh0/official_metrics.json,0.576,0.6536208747247794,0.6536208747247794,0.6536208747247794,0.209,0.5065,0.5065,0.5065,0.113,0.3315276324278607,0.858,0.7445,0.209
agent_dynamic_no_bridge_guard,v7pm_dynamic_no_bridge_guard,v7pm_dynamic_ablation,3,/home/iiserver31/projects/FedE4RAG-main/V7-agent-PM/eval_outputs/official_fid_t5/v7pm_dynamic_ablation/agent-dynamic-no-bridge-guard_k3_w1_s3_enc0_score-downstream_value_budget-fixed_hist7_client1_block1_hard1_util1_ep1_cov1_mem1_dyn1_ecw000_slotdyn_pmf1r1i1bg0dh0/official_metrics.json,0.576,0.6536208747247794,0.6536208747247794,0.6536208747247794,0.209,0.5065,0.5065,0.5065,0.113,0.3315276324278607,0.858,0.7445,0.209
agent_dynamic_no_bridge_guard,v7pm_dynamic_no_bridge_guard,v7pm_dynamic_ablation,4,/home/iiserver31/projects/FedE4RAG-main/V7-agent-PM/eval_outputs/official_fid_t5/v7pm_dynamic_ablation/agent-dynamic-no-bridge-guard_k3_w1_s4_enc0_score-downstream_value_budget-fixed_hist7_client1_block1_hard1_util1_ep1_cov1_mem1_dyn1_ecw000_slotdyn_pmf1r1i1bg0dh0/official_metrics.json,0.576,0.6536208747247794,0.6536208747247794,0.6536208747247794,0.209,0.5065,0.5065,0.5065,0.113,0.3315276324278607,0.858,0.7445,0.209
agent_dynamic_no_hardness,v7pm_dynamic_no_hardness,v7pm_dynamic_ablation,0,/home/iiserver31/projects/FedE4RAG-main/V7-agent-PM/eval_outputs/official_fid_t5/v7pm_dynamic_ablation/agent-dynamic-no-hardness_k3_w1_s0_enc0_score-downstream_value_budget-fixed_hist7_client1_block1_hard1_util1_ep1_cov1_mem1_dyn1_ecw000_slotdyn_pmf1r1i1bg1dh1/official_metrics.json,0.577,0.6538208747247795,0.6538208747247795,0.6538208747247795,0.208,0.506,0.506,0.506,0.113,0.3313276324278607,0.859,0.744,0.208
agent_dynamic_no_hardness,v7pm_dynamic_no_hardness,v7pm_dynamic_ablation,1,/home/iiserver31/projects/FedE4RAG-main/V7-agent-PM/eval_outputs/official_fid_t5/v7pm_dynamic_ablation/agent-dynamic-no-hardness_k3_w1_s1_enc0_score-downstream_value_budget-fixed_hist7_client1_block1_hard1_util1_ep1_cov1_mem1_dyn1_ecw000_slotdyn_pmf1r1i1bg1dh1/official_metrics.json,0.577,0.6538208747247795,0.6538208747247795,0.6538208747247795,0.208,0.506,0.506,0.506,0.113,0.3313276324278607,0.859,0.744,0.208
agent_dynamic_no_hardness,v7pm_dynamic_no_hardness,v7pm_dynamic_ablation,2,/home/iiserver31/projects/FedE4RAG-main/V7-agent-PM/eval_outputs/official_fid_t5/v7pm_dynamic_ablation/agent-dynamic-no-hardness_k3_w1_s2_enc0_score-downstream_value_budget-fixed_hist7_client1_block1_hard1_util1_ep1_cov1_mem1_dyn1_ecw000_slotdyn_pmf1r1i1bg1dh1/official_metrics.json,0.577,0.6538208747247795,0.6538208747247795,0.6538208747247795,0.208,0.506,0.506,0.506,0.113,0.3313276324278607,0.859,0.744,0.208
agent_dynamic_no_hardness,v7pm_dynamic_no_hardness,v7pm_dynamic_ablation,3,/home/iiserver31/projects/FedE4RAG-main/V7-agent-PM/eval_outputs/official_fid_t5/v7pm_dynamic_ablation/agent-dynamic-no-hardness_k3_w1_s3_enc0_score-downstream_value_budget-fixed_hist7_client1_block1_hard1_util1_ep1_cov1_mem1_dyn1_ecw000_slotdyn_pmf1r1i1bg1dh1/official_metrics.json,0.577,0.6538208747247795,0.6538208747247795,0.6538208747247795,0.208,0.506,0.506,0.506,0.113,0.3313276324278607,0.859,0.744,0.208
agent_dynamic_no_hardness,v7pm_dynamic_no_hardness,v7pm_dynamic_ablation,4,/home/iiserver31/projects/FedE4RAG-main/V7-agent-PM/eval_outputs/official_fid_t5/v7pm_dynamic_ablation/agent-dynamic-no-hardness_k3_w1_s4_enc0_score-downstream_value_budget-fixed_hist7_client1_block1_hard1_util1_ep1_cov1_mem1_dyn1_ecw000_slotdyn_pmf1r1i1bg1dh1/official_metrics.json,0.577,0.6538208747247795,0.6538208747247795,0.6538208747247795,0.208,0.506,0.506,0.506,0.113,0.3313276324278607,0.859,0.744,0.208
agent_dynamic_no_rarity,v7pm_dynamic_no_rarity,v7pm_dynamic_ablation,0,/home/iiserver31/projects/FedE4RAG-main/V7-agent-PM/eval_outputs/official_fid_t5/v7pm_dynamic_ablation/agent-dynamic-no-rarity_k3_w1_s0_enc0_score-downstream_value_budget-fixed_hist7_client1_block1_hard1_util1_ep1_cov1_mem1_dyn1_ecw000_slotdyn_pmf1r0i1bg1dh0/official_metrics.json,0.576,0.6536208747247794,0.6536208747247794,0.6536208747247794,0.209,0.5065,0.5065,0.5065,0.113,0.3315276324278607,0.858,0.7445,0.209
agent_dynamic_no_rarity,v7pm_dynamic_no_rarity,v7pm_dynamic_ablation,1,/home/iiserver31/projects/FedE4RAG-main/V7-agent-PM/eval_outputs/official_fid_t5/v7pm_dynamic_ablation/agent-dynamic-no-rarity_k3_w1_s1_enc0_score-downstream_value_budget-fixed_hist7_client1_block1_hard1_util1_ep1_cov1_mem1_dyn1_ecw000_slotdyn_pmf1r0i1bg1dh0/official_metrics.json,0.577,0.6538208747247795,0.6538208747247795,0.6538208747247795,0.209,0.5065,0.5065,0.5065,0.113,0.3315276324278607,0.859,0.7445,0.209
agent_dynamic_no_rarity,v7pm_dynamic_no_rarity,v7pm_dynamic_ablation,2,/home/iiserver31/projects/FedE4RAG-main/V7-agent-PM/eval_outputs/official_fid_t5/v7pm_dynamic_ablation/agent-dynamic-no-rarity_k3_w1_s2_enc0_score-downstream_value_budget-fixed_hist7_client1_block1_hard1_util1_ep1_cov1_mem1_dyn1_ecw000_slotdyn_pmf1r0i1bg1dh0/official_metrics.json,0.576,0.6536208747247794,0.6536208747247794,0.6536208747247794,0.209,0.5065,0.5065,0.5065,0.113,0.3315276324278607,0.858,0.7445,0.209
agent_dynamic_no_rarity,v7pm_dynamic_no_rarity,v7pm_dynamic_ablation,3,/home/iiserver31/projects/FedE4RAG-main/V7-agent-PM/eval_outputs/official_fid_t5/v7pm_dynamic_ablation/agent-dynamic-no-rarity_k3_w1_s3_enc0_score-downstream_value_budget-fixed_hist7_client1_block1_hard1_util1_ep1_cov1_mem1_dyn1_ecw000_slotdyn_pmf1r0i1bg1dh0/official_metrics.json,0.576,0.6536208747247794,0.6536208747247794,0.6536208747247794,0.209,0.5065,0.5065,0.5065,0.113,0.3315276324278607,0.858,0.7445,0.209
agent_dynamic_no_rarity,v7pm_dynamic_no_rarity,v7pm_dynamic_ablation,4,/home/iiserver31/projects/FedE4RAG-main/V7-agent-PM/eval_outputs/official_fid_t5/v7pm_dynamic_ablation/agent-dynamic-no-rarity_k3_w1_s4_enc0_score-downstream_value_budget-fixed_hist7_client1_block1_hard1_util1_ep1_cov1_mem1_dyn1_ecw000_slotdyn_pmf1r0i1bg1dh0/official_metrics.json,0.576,0.6536208747247794,0.6536208747247794,0.6536208747247794,0.208,0.506,0.506,0.506,0.113,0.3313276324278607,0.858,0.744,0.208
agent_dynamic_slot,v7pm_dynamic_slot,v7pm_dynamic_ablation,0,/home/iiserver31/projects/FedE4RAG-main/V7-agent-PM/eval_outputs/official_fid_t5/v7pm_dynamic_ablation/agent-dynamic-slot_k3_w1_s0_enc0_score-downstream_value_budget-fixed_hist7_client1_block1_hard1_util1_ep1_cov1_mem1_dyn1_ecw000_slotdyn_pmf1r1i1bg1dh0/official_metrics.json,0.576,0.6536208747247794,0.6536208747247794,0.6536208747247794,0.209,0.5065,0.5065,0.5065,0.113,0.3315276324278607,0.858,0.7445,0.209
agent_dynamic_slot,v7pm_dynamic_slot,v7pm_dynamic_ablation,1,/home/iiserver31/projects/FedE4RAG-main/V7-agent-PM/eval_outputs/official_fid_t5/v7pm_dynamic_ablation/agent-dynamic-slot_k3_w1_s1_enc0_score-downstream_value_budget-fixed_hist7_client1_block1_hard1_util1_ep1_cov1_mem1_dyn1_ecw000_slotdyn_pmf1r1i1bg1dh0/official_metrics.json,0.577,0.6538208747247795,0.6538208747247795,0.6538208747247795,0.209,0.5065,0.5065,0.5065,0.113,0.3315276324278607,0.859,0.7445,0.209
agent_dynamic_slot,v7pm_dynamic_slot,v7pm_dynamic_ablation,2,/home/iiserver31/projects/FedE4RAG-main/V7-agent-PM/eval_outputs/official_fid_t5/v7pm_dynamic_ablation/agent-dynamic-slot_k3_w1_s2_enc0_score-downstream_value_budget-fixed_hist7_client1_block1_hard1_util1_ep1_cov1_mem1_dyn1_ecw000_slotdyn_pmf1r1i1bg1dh0/official_metrics.json,0.576,0.6536208747247794,0.6536208747247794,0.6536208747247794,0.209,0.5065,0.5065,0.5065,0.113,0.3315276324278607,0.858,0.7445,0.209
agent_dynamic_slot,v7pm_dynamic_slot,v7pm_dynamic_ablation,3,/home/iiserver31/projects/FedE4RAG-main/V7-agent-PM/eval_outputs/official_fid_t5/v7pm_dynamic_ablation/agent-dynamic-slot_k3_w1_s3_enc0_score-downstream_value_budget-fixed_hist7_client1_block1_hard1_util1_ep1_cov1_mem1_dyn1_ecw000_slotdyn_pmf1r1i1bg1dh0/official_metrics.json,0.576,0.6536208747247794,0.6536208747247794,0.6536208747247794,0.209,0.5065,0.5065,0.5065,0.113,0.3315276324278607,0.858,0.7445,0.209
agent_dynamic_slot,v7pm_dynamic_slot,v7pm_dynamic_ablation,4,/home/iiserver31/projects/FedE4RAG-main/V7-agent-PM/eval_outputs/official_fid_t5/v7pm_dynamic_ablation/agent-dynamic-slot_k3_w1_s4_enc0_score-downstream_value_budget-fixed_hist7_client1_block1_hard1_util1_ep1_cov1_mem1_dyn1_ecw000_slotdyn_pmf1r1i1bg1dh0/official_metrics.json,0.576,0.6536208747247794,0.6536208747247794,0.6536208747247794,0.209,0.5065,0.5065,0.5065,0.113,0.3315276324278607,0.858,0.7445,0.209
agent_fixed_slot_0,v7pm_fixed_slot_0,v7pm_dynamic_ablation,0,/home/iiserver31/projects/FedE4RAG-main/V7-agent-PM/eval_outputs/official_fid_t5/v7pm_dynamic_ablation/agent-fixed-slot-0_k3_w1_s0_enc0_score-downstream_value_budget-fixed_hist7_client1_block1_hard1_util1_ep1_cov1_mem1_dyn0_ecw000_slot0_pmf1r1i1bg1dh0/official_metrics.json,0.577,0.6540367477406522,0.6540367477406522,0.6540367477406522,0.208,0.506,0.506,0.506,0.113,0.3309355689357971,0.86,0.744,0.208
agent_fixed_slot_0,v7pm_fixed_slot_0,v7pm_dynamic_ablation,1,/home/iiserver31/projects/FedE4RAG-main/V7-agent-PM/eval_outputs/official_fid_t5/v7pm_dynamic_ablation/agent-fixed-slot-0_k3_w1_s1_enc0_score-downstream_value_budget-fixed_hist7_client1_block1_hard1_util1_ep1_cov1_mem1_dyn0_ecw000_slot0_pmf1r1i1bg1dh0/official_metrics.json,0.578,0.6543700810739856,0.6543700810739856,0.6543700810739856,0.208,0.506,0.506,0.506,0.113,0.33110223560246377,0.86,0.7435,0.208
agent_fixed_slot_0,v7pm_fixed_slot_0,v7pm_dynamic_ablation,2,/home/iiserver31/projects/FedE4RAG-main/V7-agent-PM/eval_outputs/official_fid_t5/v7pm_dynamic_ablation/agent-fixed-slot-0_k3_w1_s2_enc0_score-downstream_value_budget-fixed_hist7_client1_block1_hard1_util1_ep1_cov1_mem1_dyn0_ecw000_slot0_pmf1r1i1bg1dh0/official_metrics.json,0.577,0.6540367477406522,0.6540367477406522,0.6540367477406522,0.208,0.506,0.506,0.506,0.113,0.3309355689357971,0.86,0.744,0.208
agent_fixed_slot_0,v7pm_fixed_slot_0,v7pm_dynamic_ablation,3,/home/iiserver31/projects/FedE4RAG-main/V7-agent-PM/eval_outputs/official_fid_t5/v7pm_dynamic_ablation/agent-fixed-slot-0_k3_w1_s3_enc0_score-downstream_value_budget-fixed_hist7_client1_block1_hard1_util1_ep1_cov1_mem1_dyn0_ecw000_slot0_pmf1r1i1bg1dh0/official_metrics.json,0.577,0.6540367477406522,0.6540367477406522,0.6540367477406522,0.208,0.506,0.506,0.506,0.113,0.3309355689357971,0.86,0.744,0.208
agent_fixed_slot_0,v7pm_fixed_slot_0,v7pm_dynamic_ablation,4,/home/iiserver31/projects/FedE4RAG-main/V7-agent-PM/eval_outputs/official_fid_t5/v7pm_dynamic_ablation/agent-fixed-slot-0_k3_w1_s4_enc0_score-downstream_value_budget-fixed_hist7_client1_block1_hard1_util1_ep1_cov1_mem1_dyn0_ecw000_slot0_pmf1r1i1bg1dh0/official_metrics.json,0.578,0.6543700810739856,0.6543700810739856,0.6543700810739856,0.208,0.506,0.506,0.506,0.113,0.33110223560246377,0.86,0.744,0.208
agent_fixed_slot_1,v7pm_fixed_slot_1,v7pm_dynamic_ablation,0,/home/iiserver31/projects/FedE4RAG-main/V7-agent-PM/eval_outputs/official_fid_t5/v7pm_dynamic_ablation/agent-fixed-slot-1_k3_w1_s0_enc0_score-downstream_value_budget-fixed_hist7_client1_block1_hard1_util1_ep1_cov1_mem1_dyn0_ecw000_slot1_pmf1r1i1bg1dh0/official_metrics.json,0.577,0.6538208747247795,0.6538208747247795,0.6538208747247795,0.208,0.506,0.506,0.506,0.113,0.3313276324278607,0.859,0.744,0.208
agent_fixed_slot_1,v7pm_fixed_slot_1,v7pm_dynamic_ablation,1,/home/iiserver31/projects/FedE4RAG-main/V7-agent-PM/eval_outputs/official_fid_t5/v7pm_dynamic_ablation/agent-fixed-slot-1_k3_w1_s1_enc0_score-downstream_value_budget-fixed_hist7_client1_block1_hard1_util1_ep1_cov1_mem1_dyn0_ecw000_slot1_pmf1r1i1bg1dh0/official_metrics.json,0.577,0.6538208747247795,0.6538208747247795,0.6538208747247795,0.208,0.506,0.506,0.506,0.113,0.3313276324278607,0.859,0.744,0.208
agent_fixed_slot_1,v7pm_fixed_slot_1,v7pm_dynamic_ablation,2,/home/iiserver31/projects/FedE4RAG-main/V7-agent-PM/eval_outputs/official_fid_t5/v7pm_dynamic_ablation/agent-fixed-slot-1_k3_w1_s2_enc0_score-downstream_value_budget-fixed_hist7_client1_block1_hard1_util1_ep1_cov1_mem1_dyn0_ecw000_slot1_pmf1r1i1bg1dh0/official_metrics.json,0.577,0.6538208747247795,0.6538208747247795,0.6538208747247795,0.208,0.506,0.506,0.506,0.113,0.3313276324278607,0.859,0.744,0.208
agent_fixed_slot_1,v7pm_fixed_slot_1,v7pm_dynamic_ablation,3,/home/iiserver31/projects/FedE4RAG-main/V7-agent-PM/eval_outputs/official_fid_t5/v7pm_dynamic_ablation/agent-fixed-slot-1_k3_w1_s3_enc0_score-downstream_value_budget-fixed_hist7_client1_block1_hard1_util1_ep1_cov1_mem1_dyn0_ecw000_slot1_pmf1r1i1bg1dh0/official_metrics.json,0.577,0.6538208747247795,0.6538208747247795,0.6538208747247795,0.208,0.506,0.506,0.506,0.113,0.3313276324278607,0.859,0.744,0.208
agent_fixed_slot_1,v7pm_fixed_slot_1,v7pm_dynamic_ablation,4,/home/iiserver31/projects/FedE4RAG-main/V7-agent-PM/eval_outputs/official_fid_t5/v7pm_dynamic_ablation/agent-fixed-slot-1_k3_w1_s4_enc0_score-downstream_value_budget-fixed_hist7_client1_block1_hard1_util1_ep1_cov1_mem1_dyn0_ecw000_slot1_pmf1r1i1bg1dh0/official_metrics.json,0.577,0.6538208747247795,0.6538208747247795,0.6538208747247795,0.208,0.506,0.506,0.506,0.113,0.3313276324278607,0.859,0.744,0.208
agent_fixed_slot_2,v7pm_fixed_slot_2,v7pm_dynamic_ablation,0,/home/iiserver31/projects/FedE4RAG-main/V7-agent-PM/eval_outputs/official_fid_t5/v7pm_dynamic_ablation/agent-fixed-slot-2_k3_w1_s0_enc0_score-downstream_value_budget-fixed_hist7_client1_block1_hard1_util1_ep1_cov1_mem1_dyn0_ecw000_slot2_pmf1r1i1bg1dh0/official_metrics.json,0.576,0.6536208747247794,0.6536208747247794,0.6536208747247794,0.209,0.5065,0.5065,0.5065,0.113,0.3315276324278607,0.858,0.7445,0.209
agent_fixed_slot_2,v7pm_fixed_slot_2,v7pm_dynamic_ablation,1,/home/iiserver31/projects/FedE4RAG-main/V7-agent-PM/eval_outputs/official_fid_t5/v7pm_dynamic_ablation/agent-fixed-slot-2_k3_w1_s1_enc0_score-downstream_value_budget-fixed_hist7_client1_block1_hard1_util1_ep1_cov1_mem1_dyn0_ecw000_slot2_pmf1r1i1bg1dh0/official_metrics.json,0.576,0.6536208747247794,0.6536208747247794,0.6536208747247794,0.208,0.506,0.506,0.506,0.113,0.3315276324278607,0.858,0.7445,0.208
agent_fixed_slot_2,v7pm_fixed_slot_2,v7pm_dynamic_ablation,2,/home/iiserver31/projects/FedE4RAG-main/V7-agent-PM/eval_outputs/official_fid_t5/v7pm_dynamic_ablation/agent-fixed-slot-2_k3_w1_s2_enc0_score-downstream_value_budget-fixed_hist7_client1_block1_hard1_util1_ep1_cov1_mem1_dyn0_ecw000_slot2_pmf1r1i1bg1dh0/official_metrics.json,0.576,0.6536208747247794,0.6536208747247794,0.6536208747247794,0.208,0.506,0.506,0.506,0.113,0.3315276324278607,0.858,0.7445,0.208
